Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time,Sleep Alignment
2026-06-27,30,52,5,--,19.96,'+0.6°,35,Poor,3h 42min,8h 0min,5:03 AM,9:29 AM,Not Aligned
2026-06-26,81,48,64,--,12.03,'-0.3°,35,Good,7h 27min,7h 40min,9:24 PM,5:00 AM,Behind
2026-06-25,81,48,59,--,12.5,'-0.5°,34,Good,7h 54min,8h 10min,8:42 PM,5:00 AM,Behind
2026-06-24,73,50,45,--,12.21,'-0.5°,35,Fair,5h 43min,7h 40min,12:13 AM,6:00 AM,Not Aligned
2026-06-23,87,47,66,--,11.36,'-0.4°,35,Good,7h 18min,8h 20min,9:42 PM,5:00 AM,Behind
2026-06-22,95,46,81,--,11.25,0°,33,Excellent,7h 45min,8h 40min,9:15 PM,5:00 AM,Behind
2026-06-21,20,51,--,--,21.27,'+1.2°,32,Poor,2h 28min,8h 40min,3:53 AM,6:36 AM,Not Aligned
2026-06-20,39,54,14,--,18.23,'+0.6°,32,Poor,6h 17min,7h 40min,4:10 AM,11:22 AM,Not Aligned
2026-06-19,86,48,51,--,13.25,'-0.3°,35,Good,7h 43min,8h 20min,9:15 PM,5:00 AM,Behind
2026-06-18,71,47,52,--,11.33,0°,32,Fair,5h 31min,7h 40min,12:17 AM,5:50 AM,Not Aligned
2026-06-17,83,50,53,--,12.09,'-0.2°,31,Good,8h 10min,7h 40min,8:40 PM,4:57 AM,Behind
2026-06-16,86,50,56,--,13.27,'-0.1°,30,Good,7h 52min,7h 40min,9:08 PM,5:00 AM,Behind
2026-06-15,85,53,50,--,12,'+0.3°,31,Good,7h 38min,8h 40min,9:21 PM,5:01 AM,Behind
2026-06-14,43,54,10,--,20.6,'+0.5°,32,Poor,5h 24min,8h 0min,4:09 AM,9:55 AM,Not Aligned
2026-06-13,86,51,48,--,13.34,'-0.1°,34,Good,7h 47min,8h 30min,9:50 PM,5:40 AM,Behind
2026-06-12,42,54,22,--,17.99,'+0.4°,34,Poor,6h 21min,7h 40min,12:30 AM,6:57 AM,Not Aligned
2026-06-11,84,51,43,--,14.42,'-0.5°,35,Good,7h 31min,7h 40min,9:16 PM,5:00 AM,Behind
2026-06-10,86,47,50,--,13.03,'-0.2°,36,Good,7h 35min,7h 40min,9:17 PM,5:00 AM,Behind
2026-06-09,93,48,57,--,11.04,'+0.2°,37,Excellent,7h 43min,8h 10min,9:16 PM,4:59 AM,Behind
2026-06-08,90,47,69,--,11.84,'+0.2°,36,Excellent,8h 37min,8h 40min,8:15 PM,5:00 AM,Behind
2026-06-07,21,52,--,--,17.76,'+0.9°,35,Poor,2h 33min,8h 30min,4:47 AM,7:21 AM,Not Aligned
2026-06-06,75,53,33,--,13.03,'+0.9°,33,Fair,6h 49min,8h 40min,11:13 PM,6:04 AM,Behind
2026-06-05,48,53,22,--,18.58,'-1.2°,33,Poor,5h 1min,8h 0min,3:25 AM,8:47 AM,Not Aligned
2026-06-04,91,47,54,--,12.09,'-0.6°,35,Excellent,7h 35min,7h 40min,9:17 PM,5:00 AM,Behind
2026-06-03,85,47,51,--,12.5,'-0.3°,35,Good,7h 24min,7h 20min,9:11 PM,5:00 AM,Behind
2026-06-02,85,47,65,--,11.77,'-0.3°,36,Good,8h 56min,7h 40min,7:41 PM,5:00 AM,Aligned
2026-06-01,86,50,49,--,12.67,0°,36,Good,7h 45min,8h 40min,8:47 PM,4:46 AM,Behind
2026-05-31,36,53,9,--,19.99,'+0.3°,31,Poor,4h 0min,8h 0min,3:21 AM,7:25 AM,Not Aligned
